strain	genbank	date	country	region	division	location	length	host	host_type	lineage	authors	date_submitted
PP_002MB7Y.1	PP_002MB7Y.1	2018-01-24	Netherlands				15275	Homo sapiens	Human	B.D.4.1.1	Lin, G.-L.; Drysdale, S. B.; Snape, M. D.; O'Connor, D.; Brown, A.; MacIntyre-Cockett, G.; Mellado-Gomez, E.; de Cesare, M.; Bonsall, D.; Ansari, M. A.; Oner, D.; Aerssens, J.; Butler, C.; Bont, L.; Openshaw, P.; Martinon-Torres, F.; Nair, H.; Bowden, R.; Golubchik, T.; Pollard, A. J.	2021-08-18
PP_002MAXJ.1	PP_002MAXJ.1	2018-11-29	Netherlands				15275	Homo sapiens	Human	B.D.4.1.1	Lin, G.-L.; Drysdale, S. B.; Snape, M. D.; O'Connor, D.; Brown, A.; MacIntyre-Cockett, G.; Mellado-Gomez, E.; de Cesare, M.; Bonsall, D.; Ansari, M. A.; Oner, D.; Aerssens, J.; Butler, C.; Bont, L.; Openshaw, P.; Martinon-Torres, F.; Nair, H.; Bowden, R.; Golubchik, T.; Pollard, A. J.	2021-08-18
PP_002M7GJ.1	PP_002M7GJ.1	2018-11-29	Netherlands				15275	Homo sapiens	Human	B.D.4.1.1	Lin, G.-L.; Drysdale, S. B.; Snape, M. D.; O'Connor, D.; Brown, A.; MacIntyre-Cockett, G.; Mellado-Gomez, E.; de Cesare, M.; Bonsall, D.; Ansari, M. A.; Oner, D.; Aerssens, J.; Butler, C.; Bont, L.; Openshaw, P.; Martinon-Torres, F.; Nair, H.; Bowden, R.; Golubchik, T.; Pollard, A. J.	2021-08-18
PP_002MAQY.1	PP_002MAQY.1	2018-12-16	Netherlands				15276	Homo sapiens	Human	B.D.E.2	Lin, G.-L.; Drysdale, S. B.; Snape, M. D.; O'Connor, D.; Brown, A.; MacIntyre-Cockett, G.; Mellado-Gomez, E.; de Cesare, M.; Bonsall, D.; Ansari, M. A.; Oner, D.; Aerssens, J.; Butler, C.; Bont, L.; Openshaw, P.; Martinon-Torres, F.; Nair, H.; Bowden, R.; Golubchik, T.; Pollard, A. J.	2021-08-18
PP_002M4GM.1	PP_002M4GM.1	2018-11-20	Netherlands				15273	Homo sapiens	Human	B.D.E.2	Lin, G.-L.; Drysdale, S. B.; Snape, M. D.; O'Connor, D.; Brown, A.; MacIntyre-Cockett, G.; Mellado-Gomez, E.; de Cesare, M.; Bonsall, D.; Ansari, M. A.; Oner, D.; Aerssens, J.; Butler, C.; Bont, L.; Openshaw, P.; Martinon-Torres, F.; Nair, H.; Bowden, R.; Golubchik, T.; Pollard, A. J.	2021-08-18
PP_002MAP0.1	PP_002MAP0.1	2018-11-30	Netherlands				15272	Homo sapiens	Human	B.D.E.2	Lin, G.-L.; Drysdale, S. B.; Snape, M. D.; O'Connor, D.; Brown, A.; MacIntyre-Cockett, G.; Mellado-Gomez, E.; de Cesare, M.; Bonsall, D.; Ansari, M. A.; Oner, D.; Aerssens, J.; Butler, C.; Bont, L.; Openshaw, P.; Martinon-Torres, F.; Nair, H.; Bowden, R.; Golubchik, T.; Pollard, A. J.	2021-08-18
PP_002M8CR.1	PP_002M8CR.1	2018-12-03	Netherlands				15271	Homo sapiens	Human	B.D.E.2	Lin, G.-L.; Drysdale, S. B.; Snape, M. D.; O'Connor, D.; Brown, A.; MacIntyre-Cockett, G.; Mellado-Gomez, E.; de Cesare, M.; Bonsall, D.; Ansari, M. A.; Oner, D.; Aerssens, J.; Butler, C.; Bont, L.; Openshaw, P.; Martinon-Torres, F.; Nair, H.; Bowden, R.; Golubchik, T.; Pollard, A. J.	2021-08-18
PP_002MA37.1	PP_002MA37.1	2019-12-14	Netherlands				15283	Homo sapiens	Human	B.D.4.1.1	Lin, G.-L.; Drysdale, S. B.; Snape, M. D.; O'Connor, D.; Brown, A.; MacIntyre-Cockett, G.; Mellado-Gomez, E.; de Cesare, M.; Bonsall, D.; Ansari, M. A.; Oner, D.; Aerssens, J.; Butler, C.; Bont, L.; Openshaw, P.; Martinon-Torres, F.; Nair, H.; Bowden, R.; Golubchik, T.; Pollard, A. J.	2021-08-18
PP_002M6KC.1	PP_002M6KC.1	2019-12-14	Netherlands				15280	Homo sapiens	Human	B.D.4.1.1	Lin, G.-L.; Drysdale, S. B.; Snape, M. D.; O'Connor, D.; Brown, A.; MacIntyre-Cockett, G.; Mellado-Gomez, E.; de Cesare, M.; Bonsall, D.; Ansari, M. A.; Oner, D.; Aerssens, J.; Butler, C.; Bont, L.; Openshaw, P.; Martinon-Torres, F.; Nair, H.; Bowden, R.; Golubchik, T.; Pollard, A. J.	2021-08-18
PP_002MAK8.1	PP_002MAK8.1	2019-02-04	Netherlands				15277	Homo sapiens	Human	B.D.4.1.1	Lin, G.-L.; Drysdale, S. B.; Snape, M. D.; O'Connor, D.; Brown, A.; MacIntyre-Cockett, G.; Mellado-Gomez, E.; de Cesare, M.; Bonsall, D.; Ansari, M. A.; Oner, D.; Aerssens, J.; Butler, C.; Bont, L.; Openshaw, P.; Martinon-Torres, F.; Nair, H.; Bowden, R.; Golubchik, T.; Pollard, A. J.	2021-08-18
PP_002M855.1	PP_002M855.1	2019-01-14	Netherlands				15276	Homo sapiens	Human	B.D.4.1.1	Lin, G.-L.; Drysdale, S. B.; Snape, M. D.; O'Connor, D.; Brown, A.; MacIntyre-Cockett, G.; Mellado-Gomez, E.; de Cesare, M.; Bonsall, D.; Ansari, M. A.; Oner, D.; Aerssens, J.; Butler, C.; Bont, L.; Openshaw, P.; Martinon-Torres, F.; Nair, H.; Bowden, R.; Golubchik, T.; Pollard, A. J.	2021-08-18
PP_002M99W.1	PP_002M99W.1	2019-12-04	Netherlands				15276	Homo sapiens	Human	B.D.4.1	Lin, G.-L.; Drysdale, S. B.; Snape, M. D.; O'Connor, D.; Brown, A.; MacIntyre-Cockett, G.; Mellado-Gomez, E.; de Cesare, M.; Bonsall, D.; Ansari, M. A.; Oner, D.; Aerssens, J.; Butler, C.; Bont, L.; Openshaw, P.; Martinon-Torres, F.; Nair, H.; Bowden, R.; Golubchik, T.; Pollard, A. J.	2021-08-18
PP_002MC27.1	PP_002MC27.1	2019-01-04	Netherlands				15276	Homo sapiens	Human	B.D.4.1.1	Lin, G.-L.; Drysdale, S. B.; Snape, M. D.; O'Connor, D.; Brown, A.; MacIntyre-Cockett, G.; Mellado-Gomez, E.; de Cesare, M.; Bonsall, D.; Ansari, M. A.; Oner, D.; Aerssens, J.; Butler, C.; Bont, L.; Openshaw, P.; Martinon-Torres, F.; Nair, H.; Bowden, R.; Golubchik, T.; Pollard, A. J.	2021-08-18
PP_002MBYF.1	PP_002MBYF.1	2019-11-22	Netherlands				15275	Homo sapiens	Human	B.D.4.1.1	Lin, G.-L.; Drysdale, S. B.; Snape, M. D.; O'Connor, D.; Brown, A.; MacIntyre-Cockett, G.; Mellado-Gomez, E.; de Cesare, M.; Bonsall, D.; Ansari, M. A.; Oner, D.; Aerssens, J.; Butler, C.; Bont, L.; Openshaw, P.; Martinon-Torres, F.; Nair, H.; Bowden, R.; Golubchik, T.; Pollard, A. J.	2021-08-18
PP_002MABR.1	PP_002MABR.1	2019-12-14	Netherlands				15275	Homo sapiens	Human	B.D.4.1.1	Lin, G.-L.; Drysdale, S. B.; Snape, M. D.; O'Connor, D.; Brown, A.; MacIntyre-Cockett, G.; Mellado-Gomez, E.; de Cesare, M.; Bonsall, D.; Ansari, M. A.; Oner, D.; Aerssens, J.; Butler, C.; Bont, L.; Openshaw, P.; Martinon-Torres, F.; Nair, H.; Bowden, R.; Golubchik, T.; Pollard, A. J.	2021-08-18
PP_002M54A.1	PP_002M54A.1	2019-01-15	Netherlands				15275	Homo sapiens	Human	B.D.4.1.1	Lin, G.-L.; Drysdale, S. B.; Snape, M. D.; O'Connor, D.; Brown, A.; MacIntyre-Cockett, G.; Mellado-Gomez, E.; de Cesare, M.; Bonsall, D.; Ansari, M. A.; Oner, D.; Aerssens, J.; Butler, C.; Bont, L.; Openshaw, P.; Martinon-Torres, F.; Nair, H.; Bowden, R.; Golubchik, T.; Pollard, A. J.	2021-08-18
PP_002M839.1	PP_002M839.1	2019-12-12	Netherlands				15274	Homo sapiens	Human	B.D.4.1.1	Lin, G.-L.; Drysdale, S. B.; Snape, M. D.; O'Connor, D.; Brown, A.; MacIntyre-Cockett, G.; Mellado-Gomez, E.; de Cesare, M.; Bonsall, D.; Ansari, M. A.; Oner, D.; Aerssens, J.; Butler, C.; Bont, L.; Openshaw, P.; Martinon-Torres, F.; Nair, H.; Bowden, R.; Golubchik, T.; Pollard, A. J.	2021-08-18
PP_002M4YN.1	PP_002M4YN.1	2019-12-17	Netherlands				15274	Homo sapiens	Human	B.D.4.1.1	Lin, G.-L.; Drysdale, S. B.; Snape, M. D.; O'Connor, D.; Brown, A.; MacIntyre-Cockett, G.; Mellado-Gomez, E.; de Cesare, M.; Bonsall, D.; Ansari, M. A.; Oner, D.; Aerssens, J.; Butler, C.; Bont, L.; Openshaw, P.; Martinon-Torres, F.; Nair, H.; Bowden, R.; Golubchik, T.; Pollard, A. J.	2021-08-18
PP_002M4HJ.1	PP_002M4HJ.1	2019-01-02	Netherlands				15274	Homo sapiens	Human	B.D.4.1.1	Lin, G.-L.; Drysdale, S. B.; Snape, M. D.; O'Connor, D.; Brown, A.; MacIntyre-Cockett, G.; Mellado-Gomez, E.; de Cesare, M.; Bonsall, D.; Ansari, M. A.; Oner, D.; Aerssens, J.; Butler, C.; Bont, L.; Openshaw, P.; Martinon-Torres, F.; Nair, H.; Bowden, R.; Golubchik, T.; Pollard, A. J.	2021-08-18
PP_002M51G.1	PP_002M51G.1	2019-12-12	Netherlands				15274	Homo sapiens	Human	B.D.4.1.1	Lin, G.-L.; Drysdale, S. B.; Snape, M. D.; O'Connor, D.; Brown, A.; MacIntyre-Cockett, G.; Mellado-Gomez, E.; de Cesare, M.; Bonsall, D.; Ansari, M. A.; Oner, D.; Aerssens, J.; Butler, C.; Bont, L.; Openshaw, P.; Martinon-Torres, F.; Nair, H.; Bowden, R.; Golubchik, T.; Pollard, A. J.	2021-08-18
PP_002M6TW.1	PP_002M6TW.1	2019-11-14	Netherlands				15274	Homo sapiens	Human	B.D.4.1.1	Lin, G.-L.; Drysdale, S. B.; Snape, M. D.; O'Connor, D.; Brown, A.; MacIntyre-Cockett, G.; Mellado-Gomez, E.; de Cesare, M.; Bonsall, D.; Ansari, M. A.; Oner, D.; Aerssens, J.; Butler, C.; Bont, L.; Openshaw, P.; Martinon-Torres, F.; Nair, H.; Bowden, R.; Golubchik, T.; Pollard, A. J.	2021-08-18
PP_002M7KB.1	PP_002M7KB.1	2019-03-04	Netherlands				15273	Homo sapiens	Human	B.D.4.1	Lin, G.-L.; Drysdale, S. B.; Snape, M. D.; O'Connor, D.; Brown, A.; MacIntyre-Cockett, G.; Mellado-Gomez, E.; de Cesare, M.; Bonsall, D.; Ansari, M. A.; Oner, D.; Aerssens, J.; Butler, C.; Bont, L.; Openshaw, P.; Martinon-Torres, F.; Nair, H.; Bowden, R.; Golubchik, T.; Pollard, A. J.	2021-08-18
PP_002MA1B.1	PP_002MA1B.1	2019-12-13	Netherlands				15273	Homo sapiens	Human	B.D.4.1.1	Lin, G.-L.; Drysdale, S. B.; Snape, M. D.; O'Connor, D.; Brown, A.; MacIntyre-Cockett, G.; Mellado-Gomez, E.; de Cesare, M.; Bonsall, D.; Ansari, M. A.; Oner, D.; Aerssens, J.; Butler, C.; Bont, L.; Openshaw, P.; Martinon-Torres, F.; Nair, H.; Bowden, R.; Golubchik, T.; Pollard, A. J.	2021-08-18
PP_002M4Q4.1	PP_002M4Q4.1	2019-11-08	Netherlands				15272	Homo sapiens	Human	B.D.4.1.1	Lin, G.-L.; Drysdale, S. B.; Snape, M. D.; O'Connor, D.; Brown, A.; MacIntyre-Cockett, G.; Mellado-Gomez, E.; de Cesare, M.; Bonsall, D.; Ansari, M. A.; Oner, D.; Aerssens, J.; Butler, C.; Bont, L.; Openshaw, P.; Martinon-Torres, F.; Nair, H.; Bowden, R.; Golubchik, T.; Pollard, A. J.	2021-08-18
PP_002MBBQ.1	PP_002MBBQ.1	2019-01-15	Netherlands				15268	Homo sapiens	Human	B.D.4.1.1	Lin, G.-L.; Drysdale, S. B.; Snape, M. D.; O'Connor, D.; Brown, A.; MacIntyre-Cockett, G.; Mellado-Gomez, E.; de Cesare, M.; Bonsall, D.; Ansari, M. A.; Oner, D.; Aerssens, J.; Butler, C.; Bont, L.; Openshaw, P.; Martinon-Torres, F.; Nair, H.; Bowden, R.; Golubchik, T.; Pollard, A. J.	2021-08-18
PP_002MBHB.1	PP_002MBHB.1	2019-01-24	Netherlands				15268	Homo sapiens	Human	B.D.4.1.1	Lin, G.-L.; Drysdale, S. B.; Snape, M. D.; O'Connor, D.; Brown, A.; MacIntyre-Cockett, G.; Mellado-Gomez, E.; de Cesare, M.; Bonsall, D.; Ansari, M. A.; Oner, D.; Aerssens, J.; Butler, C.; Bont, L.; Openshaw, P.; Martinon-Torres, F.; Nair, H.; Bowden, R.; Golubchik, T.; Pollard, A. J.	2021-08-18
PP_002M9CQ.1	PP_002M9CQ.1	2019-01-02	Netherlands				15229	Homo sapiens	Human	B.D.4.1.1	Lin, G.-L.; Drysdale, S. B.; Snape, M. D.; O'Connor, D.; Brown, A.; MacIntyre-Cockett, G.; Mellado-Gomez, E.; de Cesare, M.; Bonsall, D.; Ansari, M. A.; Oner, D.; Aerssens, J.; Butler, C.; Bont, L.; Openshaw, P.; Martinon-Torres, F.; Nair, H.; Bowden, R.; Golubchik, T.; Pollard, A. J.	2021-08-18
PP_002M6EP.1	PP_002M6EP.1	2020-01-09	Netherlands				15277	Homo sapiens	Human	B.D.4.1.1	Lin, G.-L.; Drysdale, S. B.; Snape, M. D.; O'Connor, D.; Brown, A.; MacIntyre-Cockett, G.; Mellado-Gomez, E.; de Cesare, M.; Bonsall, D.; Ansari, M. A.; Oner, D.; Aerssens, J.; Butler, C.; Bont, L.; Openshaw, P.; Martinon-Torres, F.; Nair, H.; Bowden, R.; Golubchik, T.; Pollard, A. J.	2021-08-18
PP_002M5XP.1	PP_002M5XP.1	2020-01-13	Netherlands				15275	Homo sapiens	Human	B.D.4.1.1	Lin, G.-L.; Drysdale, S. B.; Snape, M. D.; O'Connor, D.; Brown, A.; MacIntyre-Cockett, G.; Mellado-Gomez, E.; de Cesare, M.; Bonsall, D.; Ansari, M. A.; Oner, D.; Aerssens, J.; Butler, C.; Bont, L.; Openshaw, P.; Martinon-Torres, F.; Nair, H.; Bowden, R.; Golubchik, T.; Pollard, A. J.	2021-08-18
PP_002MA7Z.1	PP_002MA7Z.1	2020-01-14	Netherlands				15256	Homo sapiens	Human	B.D.4.1.1	Lin, G.-L.; Drysdale, S. B.; Snape, M. D.; O'Connor, D.; Brown, A.; MacIntyre-Cockett, G.; Mellado-Gomez, E.; de Cesare, M.; Bonsall, D.; Ansari, M. A.; Oner, D.; Aerssens, J.; Butler, C.; Bont, L.; Openshaw, P.; Martinon-Torres, F.; Nair, H.; Bowden, R.; Golubchik, T.; Pollard, A. J.	2021-08-18
PP_002TUJE.1	PP_002TUJE.1	2020-01-09	Netherlands				15224	Homo sapiens	Human	B.D.4.1.1	Langedijk, A. C.; Lebbink, R. J.; Bont, L. J.; Evers, A.	2024-04-09
PP_0024YKM.2	PP_0024YKM.2	2010-08-05	New Zealand				15232	Homo sapiens	Human	B.D	Shabman, R.; Das, S. R.; Shilts, M.; Fedorova, N.; Puri, V.; Shrivastava, S.; Amedeo, P.; Williams, M.; Barratt, K.; Mitchell, J.; Jennings, L.	2016-10-01
PP_0024Y7C.2	PP_0024Y7C.2	2010-10-20	New Zealand				15232	Homo sapiens	Human	B.D	Shabman, R.; Das, S. R.; Shilts, M.; Fedorova, N.; Puri, V.; Shrivastava, S.; Amedeo, P.; Williams, M.; Barratt, K.; Mitchell, J.; Jennings, L.	2016-10-01
PP_0024XQC.2	PP_0024XQC.2	2010-08-09	New Zealand				15212	Homo sapiens	Human	B.D	Shabman, R.; Das, S. R.; Shilts, M.; Fedorova, N.; Puri, V.; Shrivastava, S.; Amedeo, P.; Williams, M.; Barratt, K.; Mitchell, J.; Jennings, L.	2016-10-01
PP_0024Y4J.2	PP_0024Y4J.2	2010-08-27	New Zealand				15212	Homo sapiens	Human	B.D	Shabman, R.; Das, S. R.; Shilts, M.; Fedorova, N.; Puri, V.; Shrivastava, S.; Amedeo, P.; Williams, M.; Barratt, K.; Mitchell, J.; Jennings, L.	2016-10-01
PP_0024YFW.2	PP_0024YFW.2	2010-08-09	New Zealand				15172	Homo sapiens	Human	B.D	Shabman, R.; Das, S. R.; Shilts, M.; Fedorova, N.; Puri, V.; Shrivastava, S.; Amedeo, P.; Williams, M.; Barratt, K.; Mitchell, J.; Jennings, L.	2016-10-01
PP_0024XRA.2	PP_0024XRA.2	2010-08-27	New Zealand				15172	Homo sapiens	Human	B.D.1	Shabman, R.; Das, S. R.; Shilts, M.; Fedorova, N.; Puri, V.; Shrivastava, S.; Amedeo, P.; Williams, M.; Barratt, K.; Mitchell, J.; Jennings, L.	2016-10-01
PP_0024XMJ.2	PP_0024XMJ.2	2010-08-05	New Zealand				15171	Homo sapiens	Human	B.D.1	Shabman, R.; Das, S. R.; Shilts, M.; Fedorova, N.; Puri, V.; Shrivastava, S.; Amedeo, P.; Williams, M.; Barratt, K.; Mitchell, J.; Jennings, L.	2016-10-01
PP_0024XS8.2	PP_0024XS8.2	2011-09-19	New Zealand				15175	Homo sapiens	Human	B.D	Shabman, R.; Das, S. R.; Shilts, M.; Fedorova, N.; Puri, V.; Shrivastava, S.; Amedeo, P.; Williams, M.; Barratt, K.; Mitchell, J.; Jennings, L.	2016-10-01
PP_0024Y2N.2	PP_0024Y2N.2	2011-07-03	New Zealand				15175	Homo sapiens	Human	B.D	Shabman, R.; Das, S. R.; Shilts, M.; Fedorova, N.; Puri, V.; Shrivastava, S.; Amedeo, P.; Williams, M.; Barratt, K.; Mitchell, J.; Jennings, L.	2016-10-01
PP_0024XKN.2	PP_0024XKN.2	2011-07-03	New Zealand				15173	Homo sapiens	Human	B.D	Shabman, R.; Das, S. R.; Shilts, M.; Fedorova, N.; Puri, V.; Shrivastava, S.; Amedeo, P.; Williams, M.; Barratt, K.; Mitchell, J.; Jennings, L.	2016-10-01
PP_0024Y0S.2	PP_0024Y0S.2	2011-07-09	New Zealand				15173	Homo sapiens	Human	B.D	Shabman, R.; Das, S. R.; Shilts, M.; Fedorova, N.; Puri, V.; Shrivastava, S.; Amedeo, P.; Williams, M.; Barratt, K.; Mitchell, J.; Jennings, L.	2016-10-01
PP_0024Y98.2	PP_0024Y98.2	2011-09-04	New Zealand				15172	Homo sapiens	Human	B.D	Shabman, R.; Das, S. R.; Shilts, M.; Fedorova, N.; Puri, V.; Shrivastava, S.; Amedeo, P.; Williams, M.; Barratt, K.; Mitchell, J.; Jennings, L.	2016-10-01
PP_0024YU3.2	PP_0024YU3.2	2011-07-03	New Zealand				15172	Homo sapiens	Human	B.D	Shabman, R.; Das, S. R.; Shilts, M.; Fedorova, N.; Puri, V.; Shrivastava, S.; Amedeo, P.; Williams, M.; Barratt, K.; Mitchell, J.; Jennings, L.	2016-10-01
PP_0024YS7.2	PP_0024YS7.2	2011-09-17	New Zealand				15231	Homo sapiens	Human	B.D.4	Shabman, R.; Das, S. R.; Shilts, M.; Fedorova, N.; Puri, V.; Shrivastava, S.; Amedeo, P.; Williams, M.; Barratt, K.; Mitchell, J.; Jennings, L.	2016-10-01
PP_0024XJQ.2	PP_0024XJQ.2	2012-07-30	New Zealand				15173	Homo sapiens	Human	B.D	Shabman, R.; Das, S. R.; Shilts, M.; Fedorova, N.; Puri, V.; Shrivastava, S.; Amedeo, P.; Williams, M.; Barratt, K.; Mitchell, J.; Jennings, L.	2016-10-01
PP_0024YT5.2	PP_0024YT5.2	2012-08-28	New Zealand				15173	Homo sapiens	Human	B.D	Shabman, R.; Das, S. R.; Shilts, M.; Fedorova, N.; Puri, V.; Shrivastava, S.; Amedeo, P.; Williams, M.; Barratt, K.; Mitchell, J.; Jennings, L.	2016-10-01
PP_0024YGU.2	PP_0024YGU.2	2012-07-18	New Zealand				15173	Homo sapiens	Human	B.D	Shabman, R.; Das, S. R.; Shilts, M.; Fedorova, N.; Puri, V.; Shrivastava, S.; Amedeo, P.; Williams, M.; Barratt, K.; Mitchell, J.; Jennings, L.	2016-10-01
PP_0024YA6.2	PP_0024YA6.2	2012-08-19	New Zealand				15172	Homo sapiens	Human	B.D	Shabman, R.; Das, S. R.; Shilts, M.; Fedorova, N.; Puri, V.; Shrivastava, S.; Amedeo, P.; Williams, M.; Barratt, K.; Mitchell, J.; Jennings, L.	2016-10-01
PP_0024XW0.2	PP_0024XW0.2	2013-10-22	New Zealand				15172	Homo sapiens	Human	B.D.1.1	Shabman, R.; Das, S. R.; Shilts, M.; Fedorova, N.; Puri, V.; Shrivastava, S.; Amedeo, P.; Williams, M.; Barratt, K.; Mitchell, J.; Jennings, L.	2016-10-01
PP_0024XXY.2	PP_0024XXY.2	2013-07-06	New Zealand				15172	Homo sapiens	Human	B.D.1.1	Shabman, R.; Das, S. R.; Shilts, M.; Fedorova, N.; Puri, V.; Shrivastava, S.; Amedeo, P.; Williams, M.; Barratt, K.; Mitchell, J.; Jennings, L.	2016-10-01
PP_0024YHR.2	PP_0024YHR.2	2013-09-09	New Zealand				15172	Homo sapiens	Human	B.D.1.1	Shabman, R.; Das, S. R.; Shilts, M.; Fedorova, N.; Puri, V.; Shrivastava, S.; Amedeo, P.; Williams, M.; Barratt, K.; Mitchell, J.; Jennings, L.	2016-10-01
PP_0024Y6E.2	PP_0024Y6E.2	2013-08-24	New Zealand				15172	Homo sapiens	Human	B.D.1.1	Shabman, R.; Das, S. R.; Shilts, M.; Fedorova, N.; Puri, V.; Shrivastava, S.; Amedeo, P.; Williams, M.; Barratt, K.; Mitchell, J.; Jennings, L.	2016-10-01
PP_0024Y1Q.2	PP_0024Y1Q.2	2013-06-29	New Zealand				15172	Homo sapiens	Human	B.D.1.1	Shabman, R.; Das, S. R.; Shilts, M.; Fedorova, N.; Puri, V.; Shrivastava, S.; Amedeo, P.; Williams, M.; Barratt, K.; Mitchell, J.; Jennings, L.	2016-10-01
PP_0024YC2.2	PP_0024YC2.2	2013-09-08	New Zealand				15232	Homo sapiens	Human	B.D.4	Shabman, R.; Das, S. R.; Shilts, M.; Fedorova, N.; Puri, V.; Shrivastava, S.; Amedeo, P.; Williams, M.; Barratt, K.; Mitchell, J.; Jennings, L.	2016-10-01
PP_0024YEY.2	PP_0024YEY.2	2013-09-03	New Zealand				15232	Homo sapiens	Human	B.D.4	Shabman, R.; Das, S. R.; Shilts, M.; Fedorova, N.; Puri, V.; Shrivastava, S.; Amedeo, P.; Williams, M.; Barratt, K.; Mitchell, J.; Jennings, L.	2016-10-01
PP_0024XPE.2	PP_0024XPE.2	2013-07-27	New Zealand				15172	Homo sapiens	Human	B.D.4	Shabman, R.; Das, S. R.; Shilts, M.; Fedorova, N.; Puri, V.; Shrivastava, S.; Amedeo, P.; Williams, M.; Barratt, K.; Mitchell, J.; Jennings, L.	2016-10-01
PP_0024XV2.2	PP_0024XV2.2	2014-06-05	New Zealand				15172	Homo sapiens	Human	B.D.1.1	Shabman, R.; Das, S. R.; Shilts, M.; Fedorova, N.; Puri, V.; Shrivastava, S.; Amedeo, P.; Williams, M.; Barratt, K.; Mitchell, J.; Jennings, L.	2016-10-01
PP_0024YLK.2	PP_0024YLK.2	2014-05-27	New Zealand				15172	Homo sapiens	Human	B.D.1.1	Shabman, R.; Das, S. R.; Shilts, M.; Fedorova, N.; Puri, V.; Shrivastava, S.; Amedeo, P.; Williams, M.; Barratt, K.; Mitchell, J.; Jennings, L.	2016-10-01
PP_0024XHS.2	PP_0024XHS.2	2014-07-30	New Zealand				15171	Homo sapiens	Human	B.D.1.1	Shabman, R.; Das, S. R.; Shilts, M.; Fedorova, N.; Puri, V.; Shrivastava, S.; Amedeo, P.; Williams, M.; Barratt, K.; Mitchell, J.; Jennings, L.	2016-10-01
PP_0024XLL.2	PP_0024XLL.2	2014-05-30	New Zealand				15233	Homo sapiens	Human	B.D.4	Shabman, R.; Das, S. R.; Shilts, M.; Fedorova, N.; Puri, V.; Shrivastava, S.; Amedeo, P.; Williams, M.; Barratt, K.; Mitchell, J.; Jennings, L.	2016-10-01
PP_0024XNG.2	PP_0024XNG.2	2014-05-31	New Zealand				15232	Homo sapiens	Human	B.D.4	Shabman, R.; Das, S. R.; Shilts, M.; Fedorova, N.; Puri, V.; Shrivastava, S.; Amedeo, P.; Williams, M.; Barratt, K.; Mitchell, J.; Jennings, L.	2016-10-01
PP_0024XYW.2	PP_0024XYW.2	2014-06-04	New Zealand				15232	Homo sapiens	Human	B.D.4	Shabman, R.; Das, S. R.; Shilts, M.; Fedorova, N.; Puri, V.; Shrivastava, S.; Amedeo, P.; Williams, M.; Barratt, K.; Mitchell, J.; Jennings, L.	2016-10-01
PP_0024YJP.2	PP_0024YJP.2	2014-06-04	New Zealand				15232	Homo sapiens	Human	B.D.4	Shabman, R.; Das, S. R.; Shilts, M.; Fedorova, N.; Puri, V.; Shrivastava, S.; Amedeo, P.; Williams, M.; Barratt, K.; Mitchell, J.; Jennings, L.	2016-10-01
PP_0024Y8A.2	PP_0024Y8A.2	2014-04-30	New Zealand				15232	Homo sapiens	Human	B.D.4	Shabman, R.; Das, S. R.; Shilts, M.; Fedorova, N.; Puri, V.; Shrivastava, S.; Amedeo, P.; Williams, M.; Barratt, K.; Mitchell, J.; Jennings, L.	2016-10-01
PP_0024XZU.2	PP_0024XZU.2	2014-06-08	New Zealand				15232	Homo sapiens	Human	B.D.4	Shabman, R.; Das, S. R.; Shilts, M.; Fedorova, N.; Puri, V.; Shrivastava, S.; Amedeo, P.; Williams, M.; Barratt, K.; Mitchell, J.; Jennings, L.	2016-10-01
PP_0024YB4.2	PP_0024YB4.2	2014-06-22	New Zealand				15232	Homo sapiens	Human	B.D.4	Shabman, R.; Das, S. R.; Shilts, M.; Fedorova, N.; Puri, V.; Shrivastava, S.; Amedeo, P.; Williams, M.; Barratt, K.; Mitchell, J.; Jennings, L.	2016-10-01
PP_0024Y3L.2	PP_0024Y3L.2	2014-06-19	New Zealand				15232	Homo sapiens	Human	B.D.4	Shabman, R.; Das, S. R.; Shilts, M.; Fedorova, N.; Puri, V.; Shrivastava, S.; Amedeo, P.; Williams, M.; Barratt, K.; Mitchell, J.; Jennings, L.	2016-10-01
PP_0024XT6.2	PP_0024XT6.2	2014-06-28	New Zealand				15212	Homo sapiens	Human	B.D.4	Shabman, R.; Das, S. R.; Shilts, M.; Fedorova, N.; Puri, V.; Shrivastava, S.; Amedeo, P.; Williams, M.; Barratt, K.; Mitchell, J.; Jennings, L.	2016-10-01
PP_0024XU4.2	PP_0024XU4.2	2015-07-08	New Zealand				15232	Homo sapiens	Human	B.D.4.1	Shabman, R.; Das, S. R.; Shilts, M.; Fedorova, N.; Puri, V.; Shrivastava, S.; Amedeo, P.; Williams, M.; Barratt, K.; Mitchell, J.; Jennings, L.	2016-10-01
PP_0024YD0.2	PP_0024YD0.2	2015-07-10	New Zealand				15232	Homo sapiens	Human	B.D.4	Shabman, R.; Das, S. R.; Shilts, M.; Fedorova, N.; Puri, V.; Shrivastava, S.; Amedeo, P.; Williams, M.; Barratt, K.; Mitchell, J.; Jennings, L.	2016-10-01
